VOG	Allma1	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Anasp1	Batde5	Blabri1	Blyhe1	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecom1	Catan2	Caupr1	Caupr_SCcomb	Chyhya1	Chylag1	Chytri1	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Cladochytrium_tenue_C_tenue	Clapol1_1	Clarep1_1	Dinochytrium_kinnereticum_KLL_TL_06062013	Enthel1	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimjon1	Gaertneriomyces_sp	Gaesem1	Ganpr1	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Gervar1	Glopol1	Gorhay1	Hompol1	Hyacur1	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neosp1	Nowakowskiella_sp	Obemuc1	Orpsp1_1	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Parsed1	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	PirE2_1	Pirfi3	Podochytrium_sp	Polagg1_1	Powhir1	Quaeritorhiza_haematococci_JEL0916	Rhihy1	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spipu1	Thoreauomyces_humboldtii_JEL0095	Triarc1	Unknown_unknown_JEL0888
NCVOG0284	1.2e-15	1.7e-14		2.2e-11		2.9e-20	1.6e-17		2.4e-13	4.8e-12	2e-14	4.1e-18	2.6e-18	1.8e-22	5.6e-12		2.4e-12	1.9e-11	1.2e-12	3.9e-13	3.7e-12	2.2e-12		1.5e-14								6.6e-14	2.2e-13	7.7e-20						1.5e-11	1.4e-12	1.5e-11		2.2e-12	5.6e-13		1.1e-12	1.2e-12	1.5e-14	2e-21	1.7e-13		1.5e-16	1.2e-20			1.7e-16	2.6e-11	2.9e-11	1.2e-11			2.5e-15	1.2e-15	4.5e-12	2.6e-13		1.6e-14	1.1e-20	2.2e-15		1.1e-13	5.5e-12	4.7e-11	1.1e-13
NCVOG0285																																													4.5e-12																														
NCVOG0288		1e-13					3.1e-11												9.3e-12			5e-20																																																6.2e-19					
NCVOG0296	2.2e-12	1.6e-11	5.4e-12	6.2e-11	1.1e-11				1.3e-15			1.4e-13	2.5e-11	1.4e-15			2.3e-13			3.2e-12						1.9e-12					2.5e-17			2.7e-12															2.1e-12	2e-17				1.4e-13					2.3e-11										1.2e-16	1.3e-11					
NCVOG0297	1.1e-12	1.6e-16	2.3e-11		1.6e-11	3.1e-14			1.1e-13			1.3e-16	1.1e-14	1.6e-16				1.8e-11		1.9e-15			2.3e-11		3.6e-11	1.7e-11					4.8e-11	3.5e-15	1.7e-15									2.7e-18	2.3e-11	1.8e-12		2.2e-13				1.3e-16	2.9e-11		1.1e-16	1.2e-15	3.6e-12	1.5e-11					1.4e-12	1.4e-13		2.8e-14	9.8e-15	6.1e-16			1.1e-15	2.9e-12		1e-10		3.4e-11	1.1e-29
NCVOG0301	1.1e-12	1.4e-20	1.1e-20	6.8e-11	1.3e-11	1.8e-12			1.4e-14	1e-11		1.1e-12	1.1e-14	1.3e-11	1.2e-21	3.1e-12	2.2e-11	2.7e-20	1.7e-20	1.8e-16	1.2e-19	9.6e-20	1e-16	1.1e-13	1.2e-13	2e-11	1.3e-11		1.6e-11	2e-11	1.1e-14	1.4e-15	2.6e-14	2.4e-17	7.3e-13	1e-12	4.5e-12	8.9e-12	7.3e-12	1.4e-11		1.3e-22	2.6e-12	1.2e-11	2.7e-13	2e-11			2.5e-11	1.2e-13	1.3e-11		1.6e-20	1.3e-13	4.8e-30		2.4e-11		1.4e-12	3.2e-11	1.5e-12	1.1e-18	3e-13	1.2e-11	2.2e-11	1.3e-21	3.7e-12	2.2e-11	1.1e-17	3.9e-13	8.3e-13	4.3e-11	1.7e-12	2.1e-12	1.5e-17
NCVOG0302	1.1e-16	1.2e-14	1.3e-14	1.9e-13	1.8e-21	1.2e-12	4.8e-16		1.1e-11	3.2e-12		1.2e-13	1.1e-20	1.1e-12	1.3e-16	1.1e-14	1.9e-16	4e-21	2.6e-15	1.1e-13	3.9e-21	2.9e-15	1.3e-11	1.8e-14	1.2e-13	1.1e-19	3.8e-14		1.2e-13	1.1e-11	1.1e-13	1.1e-11	1.3e-16	2e-11	2.2e-12	1.4e-11	1.1e-17	1.9e-11	2.8e-12	1.1e-11	2.5e-18	1.1e-14	1.7e-16	1.2e-12	2.9e-11	1.1e-14	2.2e-13	2e-15	1.1e-12	1.2e-24	2.4e-11		1.1e-26	1.1e-12	1.4e-11	1.1e-15	1.6e-11	1.2e-20	1.1e-11	1.2e-11	1.8e-11	1.2e-12	1.8e-15	1.9e-14	2.2e-11	1.1e-24	1.8e-13	3e-14	1.2e-12	2.3e-14		1.6e-14	1.4e-13	1.4e-12	2.6e-11
NCVOG0304	1.1e-11	5.3e-11		1.6e-13	6.5e-11	1.1e-12			1.6e-11	1.6e-15	1.6e-14	2.2e-12	1.1e-12	1.6e-17	1.1e-11		1e-11	1.1e-14			4.9e-11	1.6e-15		1e-12	1.9e-13		5.5e-12			2.3e-12	1.2e-13	3.8e-15	1.1e-11	1.2e-11	4e-11	4.3e-11	1.8e-11	6.2e-11	7.5e-11	1.8e-12	3.7e-12	1.1e-16	2.1e-13	1.2e-11				8.5e-11	3.7e-14	1.7e-12	4e-12		5.1e-12	1.9e-12	1e-16			1.2e-13	1e-10	1.5e-13		1.1e-12	1.1e-14	1.7e-12	1.7e-12		1.3e-13	3.4e-11	1.4e-13			2.2e-11	1.7e-13	1.2e-11	6.2e-11
NCVOG0305	1.1e-15	1.1e-11	6.3e-11	1.1e-13	1.5e-21	1.1e-14	1.3e-21		1.1e-16	1.1e-11	1.7e-12	1.1e-20	1.1e-12	1.2e-11	2.1e-21	1.1e-11	1.1e-18	1.6e-13	1.1e-12	1.1e-11	1.1e-17	1.9e-13	1.3e-14	1.2e-21	1.7e-11	7.3e-13	1.1e-20		1.4e-25	1.3e-12	1.1e-12	1.1e-21	1.3e-17	1.1e-12	1.1e-13	1.5e-11	1.1e-18	1.3e-18	1.1e-12	1.2e-12	1.5e-14	1.1e-12	1.6e-24	1.1e-12	5.3e-12	1.3e-16		4.4e-11	1.2e-11	1.1e-24	1.9e-13	1.6e-12	1.2e-15	1.2e-18	1.9e-11	1.6e-13	1.1e-15	2.2e-13	1.1e-11	1.1e-11	3.3e-12	1.1e-13	1.1e-12	1.7e-27	1.1e-19	1e-11	1.7e-19	1.3e-17	1.1e-11	1.2e-11	3.3e-11	1.3e-18	1.2e-18	1.3e-17	1.3e-12
NCVOG0307									2.4e-11																																																							1.7e-14					2.2e-15						
NCVOG0308				1.1e-13						3.3e-12	1.3e-11									9.1e-14						7e-14					1.4e-15	1.2e-12	6.2e-11									1e-12					3.3e-11	3.7e-11	1.1e-12	2.3e-11								2e-11	1.1e-11	1.1e-12				4.5e-11		8.4e-12	1.1e-11		1.6e-12						
NCVOG0310				1.2e-17							1.2e-18					5e-18										2e-22																							1.9e-37			1.8e-20	7.2e-23				1.3e-11		2.1e-28																
NCVOG0312				1.1e-13			4.1e-13		1.2e-15	1.8e-13						4.7e-12				1.7e-11					3.1e-14	2.8e-11			2.8e-14	1.7e-13	9.2e-18	1.6e-13								2.5e-11	1.2e-12						1.1e-12	1.3e-12	1.1e-11	2.9e-16				1.9e-17		2.3e-14		2.1e-14	1.1e-18	1.1e-11		3.1e-16		5.7e-12	4.4e-13	1.6e-11		5.2e-11	1.2e-12	3.4e-14					9.4e-12
NCVOG0314	4.7e-12	2.4e-11	2.4e-12		4.3e-12	8e-13				7.7e-11	8.7e-11	4.5e-12					7.2e-12	5.1e-15	2.5e-14		2.8e-16	4.3e-15							6.6e-14	1.4e-14	6.4e-15	3.5e-11	4.8e-13									4.2e-12											1.1e-14					2.6e-16	7.5e-11	2.6e-11	1.3e-15				6.1e-11	4.5e-13		8.5e-18		7.9e-15		1.6e-14		1.6e-11	1e-12
NCVOG0316																	1.5e-12			1.7e-11				1.1e-11																					2.7e-11					1.1e-14						4.1e-11		1.3e-22				1.2e-16		1.1e-18	2.8e-15	1.9e-14									
NCVOG0317									3.3e-14																																												1.1e-12																						
NCVOG0318																																																					4e-12																1.3e-11						
NCVOG0319							1.3e-12															4.4e-37																			1e-11				3.4e-28																								4e-19						
NCVOG0320									1.5e-17															3.8e-12								2.4e-21	4.4e-22		6.5e-13							1.2e-15												4.7e-11								1.9e-15	1.7e-20						2.9e-13			1.9e-21	8.7e-21	3.9e-16	
NCVOG0321		1.4e-21	2e-14	3.7e-12			1.5e-13			1.3e-12					6.1e-12					5.4e-19	1.4e-20	1.1e-29		1.2e-25							1.2e-18		2.9e-15	1.6e-12		2.3e-15											2.7e-15	6.6e-13		2.1e-45						1.5e-14			9.1e-12	8.7e-14	1.2e-13	1.2e-12	2.7e-13	1.1e-12		5.6e-21	3.5e-22	1.1e-16	1.2e-12	2.4e-18				1.7e-13	
NCVOG0326		2.3e-22	2e-18				2.9e-11			1.4e-15										9.5e-16	1.9e-38	1.1e-15		1.8e-22							3.6e-15			1e-12		4.8e-13											1.2e-11	1.3e-13		2.6e-23						1.2e-11					1.5e-24	1.1e-17		1.5e-19		3.3e-30		1.4e-11		3.5e-11				6.6e-14	
NCVOG0329	2.9e-12	3e-11	3.4e-11	1.1e-27		1.8e-24	2.6e-11		1.2e-13	1.6e-13		1.3e-20	2.4e-12	1.8e-15	2.4e-31	1e-11	1.1e-12	3.2e-23	3.2e-24	2.8e-19	7.5e-29	3.9e-26		4e-13	2.3e-13	1.2e-13	5.1e-11		1.3e-12	1.1e-13	1.1e-14	2.3e-17	4.8e-12	2.1e-11						8.7e-11	1.5e-14	1.9e-14		2.9e-30				1.3e-14	1.1e-20	1.1e-11	1.1e-18	1.1e-11	1.5e-22	1.4e-11	1.5e-14	1.2e-18	6.1e-11	1.8e-18	1.1e-20	1.1e-23	1.1e-12	7.6e-14		1.2e-13	1.4e-17	1.1e-13	1.1e-11		1.1e-36	1.2e-13	6.9e-20	1.2e-11		3.8e-36	1.6e-12
NCVOG0330																										4e-13																								7.4e-11											5.4e-15														
NCVOG0331			3.7e-11			1.5e-12			2.4e-17																																	3e-13			3.1e-11					9.8e-11						1.1e-11								3.3e-12		1.4e-13			3.6e-12						7.5e-11
NCVOG0332																																												1.1e-13	2.4e-18																								2.3e-14	6e-15		3.4e-12			
NCVOG0333	2e-11	3.8e-11	2.2e-11	1.4e-11	3.4e-12	3.4e-12	1.3e-12		1.7e-11	2.6e-14	5.4e-11	2.9e-12	1.6e-11	1.1e-11	1e-11		1.5e-11	9.4e-11		1.2e-14		1.1e-11	4e-16	1.1e-11	1.2e-11	1.8e-14	4.7e-11		1.1e-16	1.1e-14	4.3e-13	8.2e-12	2.7e-16	1.7e-11		2.3e-11	7e-11			4e-12	1.3e-11	1e-15	2e-11		1.3e-14	1.7e-11	1.4e-11	4.6e-11	3.2e-11	1.5e-11	1.6e-12	3.6e-12	1.4e-11	1.2e-11	1.6e-12	1.2e-20		1.2e-14	4.1e-12	3e-11	1.1e-12	1.8e-11	1.4e-11	1.3e-17	3.6e-11	2.1e-13	5.1e-11		1.1e-11	2.1e-17		7.8e-14	1.1e-11	1.8e-11	2.3e-12
NCVOG0334					1.4e-29					5.1e-25			1.2e-37	3.7e-38																	1.4e-47	1e-43	5.6e-52		4.6e-21	4.2e-21	1.2e-21	3.4e-21	4.1e-21	1.2e-22				7.4e-36	3.5e-35										4.3e-21								5.2e-50					2.5e-25				2.1e-20	5.3e-48	1.1e-25	
NCVOG0335																																									8e-18												1.9e-13																8.2e-20						
NCVOG0346																																			1.1e-12	7.6e-11																																	1.5e-11						
NCVOG0350											1.4e-16									1.6e-14									2e-29		5.9e-28			3e-21			1.6e-11	9.9e-11		1.5e-11									6.3e-20			2.1e-25						2.6e-24								2.6e-15			3.5e-21	3.3e-12					
NCVOG0352																				8.8e-11																						6.7e-11			8.5e-23					4.1e-18			6.4e-13		7.5e-16														1.3e-12						
NCVOG0353										9.8e-24															2e-11																					1.7e-23				9.2e-19												4.8e-14		6e-23				1.2e-24	2e-16						
NCVOG0356																																																2.3e-11																											
NCVOG0360	2e-56	2.1e-55	1.2e-63	5.9e-57	7.8e-59	9.2e-59			1.7e-48	2.2e-58	1.2e-55	1.5e-57	9.7e-52		2.6e-58	6.4e-42	1.5e-53	5.2e-57	1e-57	1.8e-12	1.6e-56	8.4e-38	4.9e-60	3.2e-60	1.1e-41	4.5e-56	2.3e-59		1.2e-11	1.4e-11	1.6e-57	3.8e-43	5.2e-45	1.5e-18	2.2e-54	2.7e-54	6.4e-54	1.1e-54	2.3e-54	3.8e-56	8.8e-41	1.1e-12	2.1e-42	8.9e-17	1.3e-24	6.5e-46	8.2e-31	2.2e-31	4.2e-57	2.5e-16	1.2e-58	2.9e-54	1.3e-57	7.3e-35	7.9e-44	6e-53	1.3e-41	2.1e-81	6.4e-59	2.1e-57	4.3e-82	7.3e-40	4.2e-55	3.5e-40	1.3e-58	2.6e-11	8.2e-40	4.3e-38	1.2e-19	1.6e-18		2.8e-58	1.2e-50	3.4e-57	1.1e-37
NCVOG0370				1.3e-15					1.2e-12	3.9e-13	1.4e-14									5.8e-14											3.7e-11									4.9e-11					1.1e-20				1.2e-14			1.3e-16	9.4e-13					1.7e-16	1.3e-11	1.3e-18	3.8e-12			1.3e-32	3.6e-11	2.2e-14			2.1e-12			1.3e-12			2.2e-11
NCVOG0387																																													3.4e-18			4.9e-12																											
NCVOG0395									6.1e-11																											6.7e-11		2.9e-14	4.8e-15			9.2e-11			2e-11			1.3e-24																					3.6e-12						
NCVOG0397																																																																			8.2e-12								
NCVOG0399																																																											1.6e-11																
NCVOG0424				1.4e-15			2.3e-14				1.1e-18							3.9e-11														1.4e-17	2.4e-15	3.1e-11															1.1e-11		1.6e-11	4.8e-12							1.5e-11				3.8e-12						2.6e-11			1.9e-11		1.5e-11	
NCVOG0433																																																3.1e-12																											
NCVOG0435									1.2e-13	1.2e-23																					3.1e-20			7.6e-17			5e-13							3.5e-11	1.3e-12					1.1e-23													2e-16				1.7e-11	1.3e-14	5.8e-12			1.8e-20		1.5e-16	
NCVOG0450	1.1e-13	1.6e-36	1.1e-13		2.9e-17	1.1e-14			2.1e-17	1.1e-19		1.1e-11						4.7e-13		1.1e-11	1.6e-11	3.2e-13		1.1e-12	1.1e-12		1.1e-11		2.3e-14	1.9e-23	1.7e-16	8.9e-16	5.7e-19		1.1e-46	2.6e-16	1.2e-24	2.8e-25	1.8e-38	1.1e-13			1.5e-12				1.5e-11	2.1e-14		1.2e-11	2.3e-19		3.9e-14				1.4e-15				9.8e-23		1.2e-12		1.2e-12	1.2e-11	1.2e-15	1.1e-13	1.3e-14	1.7e-31		1e-14	1.1e-11		1.4e-20
NCVOG0451				1.1e-11	2.4e-26	3.9e-13	1.3e-17		1.3e-24	1.1e-15					1.7e-13	1.1e-12	1.1e-14	2.7e-15	1.1e-11	1.1e-14	1.6e-14	1.2e-11	1.9e-11	1.1e-12	1.7e-11	1.2e-11	2.3e-11		1.1e-14	1.1e-11	1.2e-33	1.1e-44	1.1e-13	1.1e-20	7.8e-14	4.1e-11	1.4e-15	1.8e-13	2e-16	2.3e-14	1.1e-12	1.1e-11	2.5e-11		1.7e-12	1.5e-12	2.1e-11	1.1e-12	1.1e-14	1.1e-13	1.1e-14		1.1e-11	1.1e-13	2.3e-17	1.4e-11	1.5e-11	1.4e-11	1.1e-11	1.1e-12	1.3e-12	1.1e-17	1.2e-13	1.1e-25	1.1e-11	1.1e-12	1.2e-18	1.1e-16	1.1e-11	1.3e-11		3.8e-24	1.6e-11		1.6e-11
NCVOG0465				1.7e-13																																									3.3e-11																														
NCVOG0486	1.2e-35	3.4e-36	3.9e-19	4.4e-22	1.9e-20	2.1e-30	6.3e-24		2.4e-24	2.7e-23	1.4e-21	1.1e-13	5.1e-13	1.4e-13		1.8e-22				1.5e-19			6.2e-35		1.2e-19	2.3e-29	7.7e-26		7.5e-14	5.4e-15	2.4e-12	1.1e-19	7.1e-32	2.7e-19	1.1e-20	4.3e-20	1.6e-20	4.7e-20	5.7e-20	1.7e-21	9.5e-20	3.5e-25	1.5e-24	2.7e-22	1.7e-20	9.7e-19			2.5e-30	3.3e-26	9.1e-11	1.2e-14	2.7e-23	3.7e-23	1.5e-18	2.5e-31	4.1e-25	5.3e-18	1.1e-19	5.7e-29		1.6e-22	1.1e-21	2.7e-25	1.9e-11	3.1e-21	7.5e-21	2.4e-12	1.9e-26	1.3e-14		7.7e-20	1.7e-19	1.5e-11	2.7e-30
NCVOG0493																																												9.7e-13																															
NCVOG0496																																																	1.4e-11																										
NCVOG0503																								3.5e-42										8.3e-55																1.4e-18																									
NCVOG0504				1.3e-22																											1.3e-13											8.8e-11																	1.2e-16	1.5e-11		1.9e-11		3.7e-11					4.5e-12						
NCVOG0517	1.6e-16	5.3e-13		1.5e-13	6.1e-13	6.2e-15			2.5e-14			1.2e-11			7.2e-12	1.2e-21	6e-12			1.2e-11				1.7e-17	1e-18		5e-15		2.6e-13	9.8e-14	1.7e-19	3.5e-11	1.8e-17	5.2e-12	5.7e-12			3.3e-11	3.9e-11	1.1e-12	2.6e-16	2.9e-12	9.7e-12	4.2e-14	2e-12	9e-12		1.5e-11		1.6e-12	2.4e-18			2.3e-18	6.1e-11	5.4e-11	5.1e-12	6.8e-12	1.1e-19	1.5e-11	2.5e-11	1.1e-12	4.9e-12	1.1e-14	1.2e-18	5e-14	1.4e-19	2.9e-18	1.1e-11					1.6e-15	
NCVOG0522				2.5e-11	2.6e-11		5.1e-11		1.4e-11				3.6e-11		2.2e-13	8.5e-12	6.8e-13		1.3e-14		4.2e-13	5.8e-13		1.2e-12	3.9e-17		1.7e-11				8.8e-14		4e-12	3e-14			2.3e-12	6.3e-11	3.6e-11	1e-12			8.3e-12	8.7e-11	1.1e-11	2e-12				1.4e-14			1.4e-12			2.1e-13	2.6e-12		2.2e-11	4.2e-11		4.8e-11	2.5e-12		4.2e-11			7.8e-11	4e-12			2e-14	1.1e-11	2.2e-12	
NCVOG0529																																																4.1e-14																											
NCVOG0531	1.9e-18	7.1e-18	3e-17		4.9e-12				1.7e-24			2.2e-17	1.2e-12	3.1e-12						6.2e-21					4.6e-15	1.7e-18	2.6e-11		7.2e-13		5.5e-13		5.9e-11		1.4e-15	2.4e-15	2.6e-14	3.8e-15	5.4e-15	1.6e-16	1.3e-11	1.1e-14	8.4e-14	2.3e-14	1.2e-12				9.5e-14	7.5e-16	2.3e-11		2.8e-12	1.1e-15		1.3e-20	1.1e-11		1.5e-12	3.9e-13			2.2e-12	5.1e-17	2.6e-16	3.1e-13			1e-15	2.4e-14		6.5e-19	5.7e-11	3.7e-14	
NCVOG0541					1.4e-12		2.2e-25			9.2e-30			3.4e-23	1.5e-23		3.1e-25							2.4e-12		1.3e-11		2.8e-11		6.4e-11			1.4e-12	3.2e-11	1.1e-11								1.8e-12	2.1e-11	1.7e-11	9.4e-18								1e-19				1.7e-14	4e-12						1.5e-12		4.1e-11			1.8e-15			8e-14	2.2e-23		
NCVOG0542																				8.8e-11																																														1.5e-12									
NCVOG0549																																													3.3e-17																														
NCVOG0552																																																2e-11																				1.2e-13							
NCVOG0562																		2.7e-12																																																									
NCVOG0564									3.7e-14																																				4.5e-18																														
NCVOG0566																																													1.2e-17			1.2e-11						4.9e-11															5.5e-12				1.2e-17		
NCVOG0580				1.1e-11									2.5e-13											1.8e-12	6.6e-12																					1.4e-12								1.5e-12					1.2e-11	1.1e-12		1e-11							1.1e-12						
NCVOG0585				1.1e-14					7.9e-13	1.2e-25	1.2e-15																															2.1e-12			1.1e-13		4.5e-13	1.2e-14	1.1e-16	2.9e-15								2.8e-12	1.1e-16	1.2e-16				1.5e-23	2.1e-12	1.3e-16	1.4e-11		1.9e-11				1.1e-19		
NCVOG0594																																																																2.1e-19											
NCVOG0603				3.3e-11					1.3e-14															2.8e-16							8.4e-18	5e-28	2.9e-25			1.8e-23						9.5e-30				4.1e-21			1.1e-11	1.4e-20		8.6e-12	1.7e-42	2.1e-17		6.2e-15						1.3e-14		9.6e-15					1.2e-17				2.2e-23	2.3e-12	1.3e-17
NCVOG0604											2.6e-12																																						1.2e-11											1.7e-13															
NCVOG0605			1.7e-13				1.3e-15		2.7e-16	1.2e-24		2.2e-26	2.4e-11	2.6e-12	1.2e-12	1.2e-14		1.5e-12	1.3e-25		1.5e-11	1.7e-26			1.1e-17	9.5e-13	1.2e-20		1.2e-16	1.2e-13	1.5e-13	3.7e-11	3.5e-12			1.9e-13	3.1e-11		3e-12	4.2e-14	2.1e-11						1.1e-11	1.3e-16		4.7e-13	1.2e-11		1.1e-18	1.6e-17	1.1e-11	2.2e-21	1.9e-18	6.3e-16	1.1e-11	1.1e-11		1.1e-16	8.9e-11		1.3e-11			4.7e-21	1.2e-17	5.3e-13		1.4e-15	3.3e-12	5.6e-12	1.3e-14
NCVOG0613	1e-18	1.3e-15	3e-21	2.4e-15	1.2e-12	1.2e-13			1.6e-14		1.2e-13	8.2e-17	4.9e-22	1.7e-22	4.2e-11			3.5e-14		1.1e-15	1e-17	1.3e-17	3.6e-18						1.2e-14	2.1e-16											2.2e-17	1.4e-24	4.8e-19		4.3e-28	1.1e-21			7.9e-15	5.6e-16			1.2e-16	3.3e-21				1.3e-18	1e-15	2.4e-15				1.7e-21	1.9e-12	1.6e-16		1e-14	2.7e-20					5.5e-12	
NCVOG0620									5.9e-12																																				2.5e-11																			1.6e-11											
NCVOG0621																	3.1e-21																																												2.4e-24														
NCVOG0632																						6.1e-11																																																					
NCVOG0637																																																	1.1e-12																										
NCVOG0640																																																8.2e-11																											
NCVOG0644				1.4e-11																																																								1.2e-11												5.5e-11			
NCVOG0646																																																																			2.6e-11						2.7e-13		
NCVOG0647																															1.9e-13																																									7.4e-12			
NCVOG0651									4.8e-15																								2.4e-11																				7.6e-12																1.4e-11						
NCVOG0652	1.1e-36	4.6e-32	1.3e-13	1.7e-23	5.3e-14	8.4e-30			3.2e-35	1.9e-16	3.1e-24	5.2e-32	4.8e-46		2.4e-11	6.9e-16	2.9e-39	1.1e-17	3.5e-14	3.5e-25	1.4e-17	2.7e-15	1.4e-11	3.8e-12	5.3e-31	1.5e-25	9.3e-20		2e-16	1.5e-29	1.1e-23	1.4e-40	1.7e-40		4.5e-24	4.7e-11	1.3e-31	1.1e-23	3.9e-13	1.1e-14	7.8e-36	1.3e-36	1.4e-17	1.1e-31	1.3e-17	1.1e-12			1.5e-40	3e-40	8.4e-32	2.6e-14	1.1e-17	5.4e-58		1.3e-48		1.7e-29	5e-24	1.1e-23	2.5e-13		1.8e-21	1.1e-42	4.5e-22	1.1e-14	1.4e-22	4.1e-22	1.4e-39	5e-26		2e-14	2.5e-26	1.7e-14	1e-15
NCVOG0657				1.3e-14																				7.3e-11							3.5e-18												5.2e-11			6.2e-11													1.7e-11	1.4e-13		3.3e-12					1.8e-16				9.1e-11	2.5e-11			
NCVOG0660																																																3.4e-14																											
NCVOG0663			3.4e-28	1.1e-15					1.5e-21		1.3e-14		9.3e-11		6.3e-13		1e-13	1.1e-12	6.9e-13	1.3e-14	1.8e-12	3e-12										5.9e-13									1.3e-12					1.2e-12			1.7e-12	3e-14	2.4e-11	2.3e-11	2.6e-18	1.1e-17				1.9e-13	2.7e-16		1.9e-11		1.3e-11		2e-11	1.4e-13			1.3e-24	1.3e-15		1e-11			
NCVOG0666				2e-13																																																							9.3e-11	1e-11															
NCVOG0669					2.5e-12				2.7e-13	3.5e-12			3.5e-11	1e-15	1.2e-13		1.7e-12	1.5e-11	1.1e-13	1.1e-14	1.2e-12	2.2e-12	1.4e-11	1.3e-11	3.1e-13	1.8e-20			4.1e-18	1.8e-15	6.4e-18	1.5e-14	1.5e-12		8e-11	1.5e-11	2.4e-11	5.9e-11		1.1e-11		1.4e-14	5.8e-11	6.5e-11		1.2e-11	1.5e-11	3.7e-12		4.7e-16	2.1e-12		1.9e-13	3.4e-13			2.2e-14	4.7e-14			1.2e-15	3.9e-16	2.7e-11	9.1e-25	1.3e-11	1.5e-11		2.6e-17	1.1e-13	1.7e-17		2.9e-15			1.1e-12
NCVOG0670									6e-11	1.3e-18										1.4e-16			8.6e-17																						1.2e-13			2.1e-21		2.7e-16								2.6e-15								3.7e-14	6.1e-19			2.2e-15			1.1e-30		1.1e-13
NCVOG0679				1.6e-12					3.2e-12							2.7e-19								1.5e-12			2.1e-11				1.3e-14			2.4e-13						8.4e-12	8.8e-11				2.8e-11				1.9e-15								8.6e-13		1.5e-15						1.6e-14		1.9e-13	3.8e-11	2.4e-11					1.2e-11	
NCVOG0680																															2.5e-15																																												
NCVOG0683						2.6e-11									1.1e-11																2e-11																																6.4e-11												
NCVOG0689						2.8e-11	5.5e-14		5.6e-16				1.2e-14	1.1e-13	9.8e-13									1.6e-13	1.6e-22		8.3e-13			1.2e-12	2.3e-19									7.7e-11	1.6e-12		1.9e-13			4.7e-13	2.6e-11	7e-11		3.7e-21	2.4e-12			4.9e-12			5.7e-12		1.1e-12	1.1e-11		1.8e-12	2e-11	9.4e-12	1.3e-11			6.8e-13	1.3e-11			1.2e-11		4.7e-12	
NCVOG0690										3.1e-12																																																1.5e-11									1.4e-12								
NCVOG0698																																																7.7e-11																											
NCVOG0699				1.1e-13						1.1e-12										5.4e-12				1.6e-11								2.9e-23	1.6e-28	1.2e-12							1.1e-11	3.5e-11							1.1e-13	3.4e-13	2.1e-11			2e-13		3e-11		9.4e-18	1.1e-11	1.2e-14		1.7e-11	2.5e-13	1.2e-19		5.4e-11	1.6e-14	1.3e-11	1.5e-13	2e-16		3.4e-11			5.5e-11
NCVOG0706																							3.4e-19												4.5e-38																																								
NCVOG0710				1.3e-11						1.5e-11										9.5e-14									7.6e-12		4.9e-11		6.5e-11																1.1e-12										1e-11	1.1e-11				2.2e-12					2e-11						
NCVOG0711																																																		2.9e-12																									
NCVOG0715																																																											7.8e-11																
NCVOG0719	1.2e-12	5.7e-16	1.5e-16		1.3e-12	7.6e-11			3.8e-11	6.1e-17	1.4e-12	1.5e-17					2.1e-28			1.8e-23			5.5e-17				2.7e-15				1.7e-21	5.2e-17	3.3e-22		2.9e-14	8.8e-14	1.2e-13	4.8e-13	1.8e-13	1.7e-14		4.3e-14		1.4e-11	1.9e-42	1.3e-17			4.4e-11		5.2e-17	2.3e-11	2.6e-31	1.1e-31					8.3e-11		3.4e-11			1.2e-25	1.4e-11	1.4e-11	6.1e-14	2e-13	1.9e-32	1.8e-35		1.6e-13	3.4e-52		1.9e-13
NCVOG0720				3.2e-22			2.5e-13				2.7e-25				1.3e-11			7.4e-13		4.2e-15	1.1e-13	9.4e-12		1.9e-21					1.7e-17	2.7e-17		1.9e-13	1.7e-17	1.9e-25	6.3e-25	1.3e-25	1.3e-24	2e-24	8.1e-25	1.8e-26				3.4e-25	2.3e-38	2.1e-14				3.9e-43	2.6e-15	6.1e-16	8.6e-16						1.5e-32		9.2e-16		5.7e-26		2.8e-11	1.6e-15			1.7e-21	6.4e-15		8e-33	3.7e-23		5.1e-33
NCVOG0723																															7.5e-12											6.2e-11								8.4e-15			2.3e-11	1.2e-11															1.8e-11						
